id,train_acc,train_macro_f1,train_micro_f1,train_weighted_f1,dev_acc,dev_macro_f1,dev_micro_f1,dev_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,0.959956,0.952486,0.959956,0.960025,0.529306,0.349356,0.529306,0.500427,0.559770,0.326750,0.559770,0.535536
2,0.787566,0.662917,0.787566,0.790452,0.513977,0.333486,0.513977,0.500891,0.543678,0.332141,0.543678,0.541722
3,0.971469,0.967208,0.971469,0.971506,0.542831,0.342647,0.542831,0.505079,0.561303,0.307946,0.561303,0.525964
4,0.952948,0.942303,0.952948,0.952933,0.539225,0.337389,0.539225,0.506852,0.573180,0.334127,0.573180,0.546334
5,0.950045,0.936093,0.950045,0.950093,0.534716,0.335947,0.534716,0.505747,0.552107,0.317603,0.552107,0.530235
