id,train_acc,train_macro_f1,train_micro_f1,train_weighted_f1,dev_acc,dev_macro_f1,dev_micro_f1,dev_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,0.898588,0.792798,0.898588,0.892979,0.548242,0.316880,0.548242,0.506102,0.595785,0.340003,0.595785,0.563365
2,0.778957,0.527661,0.778957,0.754190,0.569883,0.325880,0.569883,0.521201,0.601916,0.328869,0.601916,0.561045
3,0.773651,0.512576,0.773651,0.747006,0.570784,0.321531,0.570784,0.520229,0.608429,0.331155,0.608429,0.566512
4,0.796176,0.545949,0.796176,0.773990,0.540126,0.310268,0.540126,0.499880,0.589655,0.332941,0.589655,0.559831
5,0.890379,0.747436,0.890379,0.881865,0.549143,0.328358,0.549143,0.517027,0.586207,0.346575,0.586207,0.561693
