id,train_acc,train_macro_f1,train_micro_f1,train_weighted_f1,dev_acc,dev_macro_f1,dev_micro_f1,dev_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,0.920212,0.894119,0.920212,0.919486,0.571686,0.370317,0.571686,0.533652,0.601916,0.364050,0.601916,0.571682
2,0.912103,0.872717,0.912103,0.911010,0.574391,0.389615,0.574391,0.548390,0.594253,0.375922,0.594253,0.573157
3,0.932426,0.911214,0.932426,0.932200,0.552750,0.378113,0.552750,0.529664,0.593870,0.390278,0.593870,0.576056
4,0.846631,0.747563,0.846631,0.841708,0.561767,0.354550,0.561767,0.533183,0.590038,0.362657,0.590038,0.570013
5,0.877265,0.806468,0.877265,0.874599,0.570784,0.383531,0.570784,0.547345,0.584291,0.373676,0.584291,0.568342
