id,train_acc,train_macro_f1,train_micro_f1,train_weighted_f1,dev_acc,dev_macro_f1,dev_micro_f1,dev_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,0.941836,0.921397,0.941836,0.941786,0.533814,0.351052,0.533814,0.503359,0.556705,0.319072,0.556705,0.529932
2,0.761037,0.578564,0.761037,0.739959,0.546438,0.303107,0.546438,0.496981,0.592337,0.322176,0.592337,0.551038
3,0.725898,0.453880,0.725898,0.685575,0.555455,0.298927,0.555455,0.496867,0.604981,0.318372,0.604981,0.553578
4,0.948644,0.939748,0.948644,0.949293,0.535618,0.323908,0.535618,0.502583,0.551724,0.301785,0.551724,0.523909
5,0.646511,0.388719,0.646511,0.610734,0.551849,0.313832,0.551849,0.504766,0.592337,0.311626,0.592337,0.547573
