id,train_acc,train_macro_f1,train_micro_f1,train_weighted_f1,dev_acc,dev_macro_f1,dev_micro_f1,dev_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,0.707478,0.450183,0.707478,0.675701,0.558161,0.312233,0.558161,0.506927,0.604215,0.325854,0.604215,0.560237
2,0.788868,0.533272,0.788868,0.763387,0.552750,0.310999,0.552750,0.505890,0.593870,0.317401,0.593870,0.552908
3,0.786866,0.529940,0.786866,0.760966,0.555455,0.316311,0.555455,0.509233,0.595402,0.324309,0.595402,0.555688
4,0.685354,0.421172,0.685354,0.650493,0.553652,0.305167,0.553652,0.501336,0.601533,0.322252,0.601533,0.556550
5,0.738813,0.473276,0.738813,0.707460,0.562669,0.309928,0.562669,0.508363,0.599234,0.320870,0.599234,0.555058
